"p001_AS","p005_AS","p01_AS","p05_AS","p1_AS","p001_Bi","p005_Bi","p01_Bi","p05_Bi","p1_Bi"
1.21777777777778,1.22204444444444,1.18471111111111,1.20497777777778,1.26968888888889,1.89048888888889,1.86026666666667,1.87057777777778,1.91964444444444,1.87128888888889
1.19822222222222,1.21564444444444,1.1808,1.20106666666667,1.25902222222222,1.85742222222222,1.84,1.81902222222222,1.872,1.83928888888889
1.18044444444444,1.19964444444444,1.15413333333333,1.19466666666667,1.25333333333333,1.82293333333333,1.79093333333333,1.79875555555556,1.8464,1.80373333333333
1.17191111111111,1.18577777777778,1.136,1.184,1.26293333333333,1.77706666666667,1.776,1.76391111111111,1.83324444444444,1.79342222222222
1.14986666666667,1.16977777777778,1.10897777777778,1.18648888888889,1.2576,1.73937777777778,1.7408,1.74186666666667,1.79804444444444,1.77742222222222
1.14168888888889,1.14595555555556,1.11075555555556,1.18222222222222,1.23662222222222,1.70097777777778,1.71982222222222,1.71164444444444,1.74684444444444,1.74791111111111
1.12995555555556,1.13635555555556,1.09368888888889,1.18648888888889,1.22808888888889,1.64195555555556,1.6832,1.67893333333333,1.71911111111111,1.71164444444444
1.12035555555556,1.12,1.06808888888889,1.15377777777778,1.2,1.60888888888889,1.64693333333333,1.65084444444444,1.71982222222222,1.66364444444444
1.10506666666667,1.104,1.07377777777778,1.15448888888889,1.18613333333333,1.58506666666667,1.61208888888889,1.62275555555556,1.69528888888889,1.65368888888889
1.08942222222222,1.08835555555556,1.07235555555556,1.15306666666667,1.19004444444444,1.5424,1.57973333333333,1.57688888888889,1.67928888888889,1.65724444444444
1.05955555555556,1.08266666666667,1.04746666666667,1.14844444444444,1.1936,1.51288888888889,1.54097777777778,1.53848888888889,1.66044444444444,1.64195555555556
1.05315555555556,1.05422222222222,1.04284444444444,1.1552,1.18755555555556,1.46275555555556,1.52782222222222,1.51964444444444,1.63697777777778,1.60568888888889
1.05137777777778,1.056,1.0464,1.14666666666667,1.1968,1.45848888888889,1.48586666666667,1.48302222222222,1.61706666666667,1.58435555555556
1.04248888888889,1.07057777777778,1.03822222222222,1.1328,1.18293333333333,1.41795555555556,1.45528888888889,1.45564444444444,1.59715555555556,1.55484444444444
0.994488888888889,1.0528,1.02008888888889,1.14773333333333,1.17155555555556,1.35928888888889,1.42684444444444,1.44426666666667,1.58435555555556,1.55093333333333
0.981688888888889,1.03217777777778,1.03253333333333,1.14524444444444,1.18257777777778,1.35715555555556,1.36817777777778,1.40515555555556,1.54168888888889,1.51928888888889
0.971022222222222,1.02684444444444,1.01511111111111,1.14986666666667,1.16835555555556,1.32088888888889,1.32906666666667,1.37208888888889,1.49582222222222,1.50222222222222
0.967466666666667,0.990222222222222,0.983822222222222,1.13991111111111,1.15626666666667,1.29173333333333,1.2768,1.35715555555556,1.46382222222222,1.47733333333333
0.952177777777778,0.996622222222222,0.971022222222222,1.09902222222222,1.14346666666667,1.24764444444444,1.26151111111111,1.34293333333333,1.45386666666667,1.45528888888889
0.9376,0.995911111111111,0.9504,1.08017777777778,1.16551111111111,1.2096,1.22026666666667,1.33013333333333,1.45564444444444,1.46737777777778
0.924088888888889,0.972088888888889,0.932622222222222,1.10293333333333,1.16088888888889,1.15271111111111,1.2,1.29813333333333,1.41617777777778,1.43431111111111
0.918755555555556,0.961422222222222,0.946133333333333,1.0976,1.14453333333333,1.11715555555556,1.1904,1.26755555555556,1.38382222222222,1.39626666666667
0.8864,0.923733333333333,0.948977777777778,1.06168888888889,1.12675555555556,1.08728888888889,1.17155555555556,1.21137777777778,1.37244444444444,1.3952
0.895288888888889,0.933688888888889,0.941155555555556,1.07306666666667,1.15946666666667,1.05777777777778,1.12995555555556,1.19715555555556,1.3728,1.34933333333333
0.847288888888889,0.897422222222222,0.954666666666667,1.0624,1.14311111111111,1.01973333333333,1.12142222222222,1.15626666666667,1.30488888888889,1.3472
0.854044444444444,0.886044444444444,0.943288888888889,1.03644444444444,1.13991111111111,1.00871111111111,1.07555555555556,1.15342222222222,1.28853333333333,1.31591111111111
0.831288888888889,0.871466666666667,0.950044444444444,1.04782222222222,1.14524444444444,0.988088888888889,1.05315555555556,1.11715555555556,1.2928,1.25653333333333
0.836977777777778,0.851555555555556,0.970311111111111,1.04675555555556,1.12071111111111,0.920533333333333,1.02257777777778,1.06453333333333,1.2352,1.22524444444444
0.798933333333333,0.875377777777778,0.9536,1.02328888888889,1.13422222222222,0.920533333333333,1.0016,1.02186666666667,1.22524444444444,1.19786666666667
0.755911111111111,0.867911111111111,0.957866666666667,1.05991111111111,1.12746666666667,0.878577777777778,0.936177777777778,0.969244444444444,1.22204444444444,1.15271111111111
0.772266666666667,0.876088888888889,0.929066666666667,1.01795555555556,1.07057777777778,0.886755555555556,0.900622222222222,0.986666666666667,1.1968,1.088
0.770488888888889,0.817777777777778,0.9376,1.03502222222222,1.10542222222222,0.8608,0.8832,0.927288888888889,1.21031111111111,1.04035555555556
0.735288888888889,0.808533333333333,0.914133333333333,1.02755555555556,1.09297777777778,0.816355555555556,0.846222222222222,0.904177777777778,1.11964444444444,0.967822222222222
0.731377777777778,0.798577777777778,0.909866666666667,1.03217777777778,1.03253333333333,0.792533333333333,0.848,0.907733333333333,1.11075555555556,0.891022222222222
0.760177777777778,0.802133333333333,0.9216,1.03822222222222,1.02613333333333,0.786133333333333,0.816711111111111,0.864,1.11075555555556,0.8928
0.712177777777778,0.8096,0.923377777777778,1.0048,0.994133333333333,0.7808,0.803555555555556,0.861155555555556,1.04106666666667,0.834844444444444
0.738488888888889,0.819911111111111,0.889244444444444,0.978133333333333,1.02435555555556,0.727466666666667,0.792177777777778,0.849066666666667,1.03822222222222,0.752355555555556
0.732444444444444,0.8,0.873244444444444,0.978488888888889,1.04604444444444,0.702577777777778,0.788622222222222,0.832,0.964622222222222,0.734577777777778
0.680533333333333,0.818844444444444,0.861511111111111,0.929422222222222,1.02826666666667,0.6976,0.759466666666667,0.817777777777778,0.901333333333333,0.688355555555556
0.660622222222222,0.808177777777778,0.834488888888889,0.922666666666667,0.987022222222222,0.696888888888889,0.728888888888889,0.737777777777778,0.845866666666667,0.631822222222222
0.6656,0.793955555555556,0.8256,0.870044444444444,0.990933333333333,0.6976,0.740622222222222,0.713955555555556,0.816711111111111,0.539733333333333
0.645333333333333,0.808533333333333,0.785422222222222,0.836622222222222,0.964266666666667,0.666666666666667,0.699377777777778,0.713955555555556,0.760177777777778,0.461511111111111
0.636088888888889,0.758044444444444,0.747022222222222,0.835911111111111,0.951466666666667,0.662044444444444,0.6592,0.711111111111111,0.709688888888889,0.382222222222222
0.6112,0.746311111111111,0.732088888888889,0.8288,0.900977777777778,0.609422222222222,0.650666666666667,0.688711111111111,0.627555555555556,0.321066666666667
0.643555555555556,0.683022222222222,0.766577777777778,0.824177777777778,0.889955555555555,0.605155555555556,0.599466666666667,0.608711111111111,0.553955555555556,0.249244444444444
0.635733333333333,0.712888888888889,0.759111111111111,0.802133333333333,0.858311111111111,0.560711111111111,0.586666666666667,0.594488888888889,0.490666666666667,0.189511111111111
0.640711111111111,0.688711111111111,0.7712,0.767644444444444,0.873244444444444,0.524088888888889,0.546844444444444,0.597333333333333,0.430222222222222,0.125511111111111
0.613333333333333,0.645333333333333,0.818844444444444,0.798933333333333,0.862577777777778,0.498133333333333,0.513777777777778,0.562488888888889,0.372266666666667,0.0807111111111111
0.627911111111111,0.667377777777778,0.797155555555556,0.810311111111111,0.760888888888889,0.488533333333333,0.454044444444444,0.546133333333333,0.305777777777778,0.0533333333333333
0.625066666666667,0.637866666666667,0.737066666666667,0.787555555555556,0.718577777777778,0.459733333333333,0.452266666666667,0.496355555555556,0.2368,0.0334222222222222
0.6496,0.587377777777778,0.660977777777778,0.763733333333333,0.736355555555556,0.4544,0.413155555555556,0.425955555555556,0.171022222222222,0.0202666666666667
0.6496,0.575644444444444,0.616177777777778,0.748444444444444,0.721777777777778,0.447644444444444,0.414222222222222,0.379733333333333,0.112355555555556,0.0184888888888889
